symbol,baseAsset,quoteAsset,status,isSpotTradingAllowed,baseAssetPrecision,quotePrecision
ETHBTC,ETH,BTC,TRADING,true,8,8
LTCBTC,LTC,BTC,TRADING,true,8,8
BNBBTC,BNB,BTC,TRADING,true,8,8
NEOBTC,NEO,BTC,TRADING,true,8,8
GASBTC,GAS,BTC,TRADING,true,8,8
BNBETH,BNB,ETH,TRADING,true,8,8
BTCUSDT,BTC,USDT,TRADING,true,8,8
ETHUSDT,ETH,USDT,TRADING,true,8,8
KNCBTC,KNC,BTC,TRADING,true,8,8
IOTABTC,IOTA,BTC,TRADING,true,8,8
LINKBTC,LINK,BTC,TRADING,true,8,8
LINKETH,LINK,ETH,TRADING,true,8,8
ETCBTC,ETC,BTC,TRADING,true,8,8
ZECBTC,ZEC,BTC,TRADING,true,8,8
ZECETH,ZEC,ETH,TRADING,true,8,8
DASHBTC,DASH,BTC,TRADING,true,8,8
TRXBTC,TRX,BTC,TRADING,true,8,8
TRXETH,TRX,ETH,TRADING,true,8,8
XRPBTC,XRP,BTC,TRADING,true,8,8
XRPETH,XRP,ETH,TRADING,true,8,8
BNBUSDT,BNB,USDT,TRADING,true,8,8
BATBTC,BAT,BTC,TRADING,true,8,8
NEOUSDT,NEO,USDT,TRADING,true,8,8
ADXBTC,ADX,BTC,TRADING,true,8,8
ADABTC,ADA,BTC,TRADING,true,8,8
ADAETH,ADA,ETH,TRADING,true,8,8
XLMBTC,XLM,BTC,TRADING,true,8,8
XLMETH,XLM,ETH,TRADING,true,8,8
LTCETH,LTC,ETH,TRADING,true,8,8
LTCUSDT,LTC,USDT,TRADING,true,8,8
LTCBNB,LTC,BNB,TRADING,true,8,8
RLCETH,RLC,ETH,TRADING,true,8,8
STEEMBTC,STEEM,BTC,TRADING,true,8,8
STEEMETH,STEEM,ETH,TRADING,true,8,8
ONTBTC,ONT,BTC,TRADING,true,8,8
QTUMUSDT,QTUM,USDT,TRADING,true,8,8
WANBTC,WAN,BTC,TRADING,true,8,8
ADAUSDT,ADA,USDT,TRADING,true,8,8
ADABNB,ADA,BNB,TRADING,true,8,8
XRPUSDT,XRP,USDT,TRADING,true,8,8
BTCTUSD,BTC,TUSD,TRADING,true,8,8
ETHTUSD,ETH,TUSD,TRADING,true,8,8
ZENBTC,ZEN,BTC,TRADING,true,8,8
THETABTC,THETA,BTC,TRADING,true,8,8
XRPBNB,XRP,BNB,TRADING,true,8,8
TUSDUSDT,TUSD,USDT,TRADING,true,8,8
IOTAUSDT,IOTA,USDT,TRADING,true,8,8
XLMUSDT,XLM,USDT,TRADING,true,8,8
ONTUSDT,ONT,USDT,TRADING,true,8,8
TRXBNB,TRX,BNB,TRADING,true,8,8
TRXUSDT,TRX,USDT,TRADING,true,8,8
ETCUSDT,ETC,USDT,TRADING,true,8,8
ICXUSDT,ICX,USDT,TRADING,true,8,8
VETUSDT,VET,USDT,TRADING,true,8,8
BNBTUSD,BNB,TUSD,TRADING,true,8,8
BNBUSDC,BNB,USDC,TRADING,true,8,8
BTCUSDC,BTC,USDC,TRADING,true,8,8
ETHUSDC,ETH,USDC,TRADING,true,8,8
XRPUSDC,XRP,USDC,TRADING,true,8,8
XLMUSDC,XLM,USDC,TRADING,true,8,8
USDCUSDT,USDC,USDT,TRADING,true,8,8
TRXXRP,TRX,XRP,TRADING,true,8,8
LINKUSDT,LINK,USDT,TRADING,true,8,8
LINKUSDC,LINK,USDC,TRADING,true,8,8
LTCUSDC,LTC,USDC,TRADING,true,8,8
TRXUSDC,TRX,USDC,TRADING,true,8,8
ONGBTC,ONG,BTC,TRADING,true,8,8
ONGUSDT,ONG,USDT,TRADING,true,8,8
HOTUSDT,HOT,USDT,TRADING,true,8,8
ZILUSDT,ZIL,USDT,TRADING,true,8,8
ZRXUSDT,ZRX,USDT,TRADING,true,8,8
FETBNB,FET,BNB,TRADING,true,8,8
FETBTC,FET,BTC,TRADING,true,8,8
FETUSDT,FET,USDT,TRADING,true,8,8
BATUSDT,BAT,USDT,TRADING,true,8,8
ZECUSDT,ZEC,USDT,TRADING,true,8,8
ZECUSDC,ZEC,USDC,TRADING,true,8,8
IOSTUSDT,IOST,USDT,TRADING,true,8,8
CELRUSDT,CELR,USDT,TRADING,true,8,8
ADAUSDC,ADA,USDC,TRADING,true,8,8
NEOUSDC,NEO,USDC,TRADING,true,8,8
DASHUSDT,DASH,USDT,TRADING,true,8,8
THETAUSDT,THETA,USDT,TRADING,true,8,8
ENJUSDT,ENJ,USDT,TRADING,true,8,8
ATOMBTC,ATOM,BTC,TRADING,true,8,8
ATOMUSDT,ATOM,USDT,TRADING,true,8,8
ATOMUSDC,ATOM,USDC,TRADING,true,8,8
ETCUSDC,ETC,USDC,TRADING,true,8,8
TFUELBTC,TFUEL,BTC,TRADING,true,8,8
TFUELUSDT,TFUEL,USDT,TRADING,true,8,8
ONEUSDT,ONE,USDT,TRADING,true,8,8
ALGOBTC,ALGO,BTC,TRADING,true,8,8
ALGOUSDT,ALGO,USDT,TRADING,true,8,8
ALGOUSDC,ALGO,USDC,TRADING,true,8,8
DOGEBTC,DOGE,BTC,TRADING,true,8,8
DOGEUSDT,DOGE,USDT,TRADING,true,8,8
DOGEUSDC,DOGE,USDC,TRADING,true,8,8
DUSKBTC,DUSK,BTC,TRADING,true,8,8
DUSKUSDT,DUSK,USDT,TRADING,true,8,8
ANKRUSDT,ANKR,USDT,TRADING,true,8,8
ONTUSDC,ONT,USDC,TRADING,true,8,8
WINUSDT,WIN,USDT,TRADING,true,8,8
COSUSDT,COS,USDT,TRADING,true,8,8
MTLUSDT,MTL,USDT,TRADING,true,8,8
DENTUSDT,DENT,USDT,TRADING,true,8,8
WANUSDT,WAN,USDT,TRADING,true,8,8
FUNUSDT,FUN,USDT,TRADING,true,8,8
CVCUSDT,CVC,USDT,TRADING,true,8,8
WINTRX,WIN,TRX,TRADING,true,8,8
CHZBTC,CHZ,BTC,TRADING,true,8,8
CHZUSDT,CHZ,USDT,TRADING,true,8,8
BANDBTC,BAND,BTC,TRADING,true,8,8
BANDUSDT,BAND,USDT,TRADING,true,8,8
XTZBTC,XTZ,BTC,TRADING,true,8,8
XTZUSDT,XTZ,USDT,TRADING,true,8,8
RVNUSDT,RVN,USDT,TRADING,true,8,8
HBARBNB,HBAR,BNB,TRADING,true,8,8
HBARBTC,HBAR,BTC,TRADING,true,8,8
HBARUSDT,HBAR,USDT,TRADING,true,8,8
STXBTC,STX,BTC,TRADING,true,8,8
STXUSDT,STX,USDT,TRADING,true,8,8
KAVABTC,KAVA,BTC,TRADING,true,8,8
KAVAUSDT,KAVA,USDT,TRADING,true,8,8
ARPAUSDT,ARPA,USDT,TRADING,true,8,8
IOTXUSDT,IOTX,USDT,TRADING,true,8,8
RLCUSDT,RLC,USDT,TRADING,true,8,8
BCHBNB,BCH,BNB,TRADING,true,8,8
BCHBTC,BCH,BTC,TRADING,true,8,8
BCHUSDT,BCH,USDT,TRADING,true,8,8
BCHUSDC,BCH,USDC,TRADING,true,8,8
FTTUSDT,FTT,USDT,TRADING,true,8,8
BTCTRY,BTC,TRY,TRADING,true,8,8
BNBTRY,BNB,TRY,TRADING,true,8,8
ETHTRY,ETH,TRY,TRADING,true,8,8
XRPTRY,XRP,TRY,TRADING,true,8,8
USDTTRY,USDT,TRY,TRADING,true,8,8
BTCEUR,BTC,EUR,TRADING,true,8,8
ETHEUR,ETH,EUR,TRADING,true,8,8
BNBEUR,BNB,EUR,TRADING,true,8,8
XRPEUR,XRP,EUR,TRADING,true,8,8
EURUSDT,EUR,USDT,TRADING,true,8,8
OGNUSDT,OGN,USDT,TRADING,true,8,8
LSKUSDT,LSK,USDT,TRADING,true,8,8
BNTUSDT,BNT,USDT,TRADING,true,8,8
MBLUSDT,MBL,USDT,TRADING,true,8,8
COTIUSDT,COTI,USDT,TRADING,true,8,8
USDTZAR,USDT,ZAR,TRADING,true,8,8
SOLBNB,SOL,BNB,TRADING,true,8,8
SOLBTC,SOL,BTC,TRADING,true,8,8
SOLUSDT,SOL,USDT,TRADING,true,8,8
CTSIBTC,CTSI,BTC,TRADING,true,8,8
CTSIUSDT,CTSI,USDT,TRADING,true,8,8
HIVEUSDT,HIVE,USDT,TRADING,true,8,8
CHRUSDT,CHR,USDT,TRADING,true,8,8
ARDRUSDT,ARDR,USDT,TRADING,true,8,8
MDTUSDT,MDT,USDT,TRADING,true,8,8
KNCUSDT,KNC,USDT,TRADING,true,8,8
USDTUAH,USDT,UAH,TRADING,true,8,8
COMPUSDT,COMP,USDT,TRADING,true,8,8
SCUSDT,SC,USDT,TRADING,true,8,8
ZENUSDT,ZEN,USDT,TRADING,true,8,8
SNXUSDT,SNX,USDT,TRADING,true,8,8
VTHOUSDT,VTHO,USDT,TRADING,true,8,8
DGBUSDT,DGB,USDT,TRADING,true,8,8
RUNEBTC,RUNE,BTC,TRADING,true,8,8
DCRUSDT,DCR,USDT,TRADING,true,8,8
STORJUSDT,STORJ,USDT,TRADING,true,8,8
AVABTC,AVA,BTC,TRADING,true,8,8
MANAUSDT,MANA,USDT,TRADING,true,8,8
YFIUSDT,YFI,USDT,TRADING,true,8,8
JSTBTC,JST,BTC,TRADING,true,8,8
JSTUSDT,JST,USDT,TRADING,true,8,8
CRVBTC,CRV,BTC,TRADING,true,8,8
CRVUSDT,CRV,USDT,TRADING,true,8,8
SANDUSDT,SAND,USDT,TRADING,true,8,8
NMRUSDT,NMR,USDT,TRADING,true,8,8
DOTBNB,DOT,BNB,TRADING,true,8,8
DOTBTC,DOT,BTC,TRADING,true,8,8
DOTUSDT,DOT,USDT,TRADING,true,8,8
LUNAUSDT,LUNA,USDT,TRADING,true,8,8
RSRUSDT,RSR,USDT,TRADING,true,8,8
PAXGBTC,PAXG,BTC,TRADING,true,8,8
PAXGUSDT,PAXG,USDT,TRADING,true,8,8
TRBUSDT,TRB,USDT,TRADING,true,8,8
WBTCBTC,WBTC,BTC,TRADING,true,8,8
WBTCETH,WBTC,ETH,TRADING,true,8,8
SUSHIUSDT,SUSHI,USDT,TRADING,true,8,8
KSMUSDT,KSM,USDT,TRADING,true,8,8
EGLDBTC,EGLD,BTC,TRADING,true,8,8
EGLDUSDT,EGLD,USDT,TRADING,true,8,8
DIAUSDT,DIA,USDT,TRADING,true,8,8
RUNEUSDT,RUNE,USDT,TRADING,true,8,8
FIOUSDT,FIO,USDT,TRADING,true,8,8
UMAUSDT,UMA,USDT,TRADING,true,8,8
LINKTRY,LINK,TRY,TRADING,true,8,8
BELUSDT,BEL,USDT,TRADING,true,8,8
UNIBTC,UNI,BTC,TRADING,true,8,8
UNIUSDT,UNI,USDT,TRADING,true,8,8
OXTUSDT,OXT,USDT,TRADING,true,8,8
SUNUSDT,SUN,USDT,TRADING,true,8,8
AVAXBTC,AVAX,BTC,TRADING,true,8,8
AVAXUSDT,AVAX,USDT,TRADING,true,8,8
CAKEBNB,CAKE,BNB,TRADING,true,8,8
UTKUSDT,UTK,USDT,TRADING,true,8,8
XVSBNB,XVS,BNB,TRADING,true,8,8
XVSBTC,XVS,BTC,TRADING,true,8,8
XVSUSDT,XVS,USDT,TRADING,true,8,8
BTCBRL,BTC,BRL,TRADING,true,8,8
USDTBRL,USDT,BRL,TRADING,true,8,8
AAVEBTC,AAVE,BTC,TRADING,true,8,8
AAVEETH,AAVE,ETH,TRADING,true,8,8
AAVEUSDT,AAVE,USDT,TRADING,true,8,8
NEARBTC,NEAR,BTC,TRADING,true,8,8
NEARUSDT,NEAR,USDT,TRADING,true,8,8
FILBTC,FIL,BTC,TRADING,true,8,8
FILUSDT,FIL,USDT,TRADING,true,8,8
INJBTC,INJ,BTC,TRADING,true,8,8
INJUSDT,INJ,USDT,TRADING,true,8,8
LINKEUR,LINK,EUR,TRADING,true,8,8
AUDIOUSDT,AUDIO,USDT,TRADING,true,8,8
CTKBNB,CTK,BNB,TRADING,true,8,8
CTKBTC,CTK,BTC,TRADING,true,8,8
CTKUSDT,CTK,USDT,TRADING,true,8,8
ETHBRL,ETH,BRL,TRADING,true,8,8
DOTEUR,DOT,EUR,TRADING,true,8,8
AXSBTC,AXS,BTC,TRADING,true,8,8
AXSUSDT,AXS,USDT,TRADING,true,8,8
BNBBRL,BNB,BRL,TRADING,true,8,8
LTCEUR,LTC,EUR,TRADING,true,8,8
ADAEUR,ADA,EUR,TRADING,true,8,8
STRAXUSDT,STRAX,USDT,TRADING,true,8,8
ROSEBTC,ROSE,BTC,TRADING,true,8,8
ROSEUSDT,ROSE,USDT,TRADING,true,8,8
AVAXTRY,AVAX,TRY,TRADING,true,8,8
AVAUSDT,AVA,USDT,TRADING,true,8,8
XRPBRL,XRP,BRL,TRADING,true,8,8
SKLUSDT,SKL,USDT,TRADING,true,8,8
BCHEUR,BCH,EUR,TRADING,true,8,8
GLMBTC,GLM,BTC,TRADING,true,8,8
LINKBRL,LINK,BRL,TRADING,true,8,8
TRXTRY,TRX,TRY,TRADING,true,8,8
XLMEUR,XLM,EUR,TRADING,true,8,8
GRTBTC,GRT,BTC,TRADING,true,8,8
GRTUSDT,GRT,USDT,TRADING,true,8,8
JUVUSDT,JUV,USDT,TRADING,true,8,8
PSGUSDT,PSG,USDT,TRADING,true,8,8
1INCHBTC,1INCH,BTC,TRADING,true,8,8
1INCHUSDT,1INCH,USDT,TRADING,true,8,8
OGUSDT,OG,USDT,TRADING,true,8,8
ATMUSDT,ATM,USDT,TRADING,true,8,8
ASRUSDT,ASR,USDT,TRADING,true,8,8
CELOBTC,CELO,BTC,TRADING,true,8,8
CELOUSDT,CELO,USDT,TRADING,true,8,8
RIFUSDT,RIF,USDT,TRADING,true,8,8
CHZTRY,CHZ,TRY,TRADING,true,8,8
XLMTRY,XLM,TRY,TRADING,true,8,8
TRUUSDT,TRU,USDT,TRADING,true,8,8
LTCBRL,LTC,BRL,TRADING,true,8,8
CKBUSDT,CKB,USDT,TRADING,true,8,8
TWTUSDT,TWT,USDT,TRADING,true,8,8
DOGEEUR,DOGE,EUR,TRADING,true,8,8
DOGETRY,DOGE,TRY,TRADING,true,8,8
DOGEBRL,DOGE,BRL,TRADING,true,8,8
SFPUSDT,SFP,USDT,TRADING,true,8,8
DOTTRY,DOT,TRY,TRADING,true,8,8
DODOUSDT,DODO,USDT,TRADING,true,8,8
CAKEBTC,CAKE,BTC,TRADING,true,8,8
CAKEUSDT,CAKE,USDT,TRADING,true,8,8
ACMUSDT,ACM,USDT,TRADING,true,8,8
ADATRY,ADA,TRY,TRADING,true,8,8
ADABRL,ADA,BRL,TRADING,true,8,8
HOTTRY,HOT,TRY,TRADING,true,8,8
EGLDEUR,EGLD,EUR,TRADING,true,8,8
PONDUSDT,POND,USDT,TRADING,true,8,8
DEGOUSDT,DEGO,USDT,TRADING,true,8,8
AVAXEUR,AVAX,EUR,TRADING,true,8,8
ALICEUSDT,ALICE,USDT,TRADING,true,8,8
NEOTRY,NEO,TRY,TRADING,true,8,8
SUPERBTC,SUPER,BTC,TRADING,true,8,8
SUPERUSDT,SUPER,USDT,TRADING,true,8,8
CFXBTC,CFX,BTC,TRADING,true,8,8
CFXUSDT,CFX,USDT,TRADING,true,8,8
RVNTRY,RVN,TRY,TRADING,true,8,8
TKOUSDT,TKO,USDT,TRADING,true,8,8
PUNDIXUSDT,PUNDIX,USDT,TRADING,true,8,8
WINEUR,WIN,EUR,TRADING,true,8,8
TLMUSDT,TLM,USDT,TRADING,true,8,8
ONTTRY,ONT,TRY,TRADING,true,8,8
VETEUR,VET,EUR,TRADING,true,8,8
BARUSDT,BAR,USDT,TRADING,true,8,8
SLPUSDT,SLP,USDT,TRADING,true,8,8
TRXEUR,TRX,EUR,TRADING,true,8,8
VETTRY,VET,TRY,TRADING,true,8,8
SHIBUSDT,SHIB,USDT,TRADING,true,2,8
ICPBTC,ICP,BTC,TRADING,true,8,8
ICPUSDT,ICP,USDT,TRADING,true,8,8
SHIBEUR,SHIB,EUR,TRADING,true,2,8
ARBTC,AR,BTC,TRADING,true,8,8
ARUSDT,AR,USDT,TRADING,true,8,8
MASKUSDT,MASK,USDT,TRADING,true,8,8
LPTBTC,LPT,BTC,TRADING,true,8,8
LPTUSDT,LPT,USDT,TRADING,true,8,8
SOLEUR,SOL,EUR,TRADING,true,8,8
SHIBBRL,SHIB,BRL,TRADING,true,2,8
ICPEUR,ICP,EUR,TRADING,true,8,8
SHIBTRY,SHIB,TRY,TRADING,true,2,8
XVGUSDT,XVG,USDT,TRADING,true,8,8
ATAUSDT,ATA,USDT,TRADING,true,8,8
GTCUSDT,GTC,USDT,TRADING,true,8,8
SOLTRY,SOL,TRY,TRADING,true,8,8
SOLBRL,SOL,BRL,TRADING,true,8,8
PHAUSDT,PHA,USDT,TRADING,true,8,8
MLNUSDT,MLN,USDT,TRADING,true,8,8
GRTTRY,GRT,TRY,TRADING,true,8,8
DEXEUSDT,DEXE,USDT,TRADING,true,8,8
C98USDT,C98,USDT,TRADING,true,8,8
QNTBTC,QNT,BTC,TRADING,true,8,8
QNTUSDT,QNT,USDT,TRADING,true,8,8
FLOWUSDT,FLOW,USDT,TRADING,true,8,8
MINAUSDT,MINA,USDT,TRADING,true,8,8
RAYUSDT,RAY,USDT,TRADING,true,8,8
FARMUSDT,FARM,USDT,TRADING,true,8,8
TLMTRY,TLM,TRY,TRADING,true,8,8
QUICKUSDT,QUICK,USDT,TRADING,true,8,8
MBOXUSDT,MBOX,USDT,TRADING,true,8,8
REQUSDT,REQ,USDT,TRADING,true,8,8
WAXPUSDT,WAXP,USDT,TRADING,true,8,8
GNOUSDT,GNO,USDT,TRADING,true,8,8
ARPATRY,ARPA,TRY,TRADING,true,8,8
XECUSDT,XEC,USDT,TRADING,true,2,8
DYDXUSDT,DYDX,USDT,TRADING,true,8,8
USDPUSDT,USDP,USDT,TRADING,true,8,8
GALAUSDT,GALA,USDT,TRADING,true,8,8
ILVUSDT,ILV,USDT,TRADING,true,8,8
YGGUSDT,YGG,USDT,TRADING,true,8,8
SYSUSDT,SYS,USDT,TRADING,true,8,8
SOLUSDC,SOL,USDC,TRADING,true,8,8
FIDAUSDT,FIDA,USDT,TRADING,true,8,8
AGLDUSDT,AGLD,USDT,TRADING,true,8,8
RADUSDT,RAD,USDT,TRADING,true,8,8
RAREUSDT,RARE,USDT,TRADING,true,8,8
AVAXBRL,AVAX,BRL,TRADING,true,8,8
SOLETH,SOL,ETH,TRADING,true,8,8
LAZIOTRY,LAZIO,TRY,TRADING,true,8,8
LAZIOUSDT,LAZIO,USDT,TRADING,true,8,8
ADXUSDT,ADX,USDT,TRADING,true,8,8
AUCTIONUSDT,AUCTION,USDT,TRADING,true,8,8
MANATRY,MANA,TRY,TRADING,true,8,8
MOVRUSDT,MOVR,USDT,TRADING,true,8,8
CITYUSDT,CITY,USDT,TRADING,true,8,8
ENSUSDT,ENS,USDT,TRADING,true,8,8
DOTETH,DOT,ETH,TRADING,true,8,8
SANDTRY,SAND,TRY,TRADING,true,8,8
QIUSDT,QI,USDT,TRADING,true,8,8
PORTOUSDT,PORTO,USDT,TRADING,true,8,8
PORTOTRY,PORTO,TRY,TRADING,true,8,8
POWRUSDT,POWR,USDT,TRADING,true,8,8
AVAXETH,AVAX,ETH,TRADING,true,8,8
SLPTRY,SLP,TRY,TRADING,true,8,8
JASMYUSDT,JASMY,USDT,TRADING,true,8,8
AMPUSDT,AMP,USDT,TRADING,true,8,8
PYRUSDT,PYR,USDT,TRADING,true,8,8
ALCXUSDT,ALCX,USDT,TRADING,true,8,8
SANTOSBTC,SANTOS,BTC,TRADING,true,8,8
SANTOSUSDT,SANTOS,USDT,TRADING,true,8,8
SANTOSTRY,SANTOS,TRY,TRADING,true,8,8
BELTRY,BEL,TRY,TRADING,true,8,8
DENTTRY,DENT,TRY,TRADING,true,8,8
ENJTRY,ENJ,TRY,TRADING,true,8,8
BICOUSDT,BICO,USDT,TRADING,true,8,8
FLUXUSDT,FLUX,USDT,TRADING,true,8,8
ALICETRY,ALICE,TRY,TRADING,true,8,8
GALATRY,GALA,TRY,TRADING,true,8,8
LUNATRY,LUNA,TRY,TRADING,true,8,8
MINATRY,MINA,TRY,TRADING,true,8,8
XTZTRY,XTZ,TRY,TRADING,true,8,8
HIGHUSDT,HIGH,USDT,TRADING,true,8,8
CVXUSDT,CVX,USDT,TRADING,true,8,8
PEOPLEUSDT,PEOPLE,USDT,TRADING,true,8,8
SPELLUSDT,SPELL,USDT,TRADING,true,8,8
JOEUSDT,JOE,USDT,TRADING,true,8,8
EGLDETH,EGLD,ETH,TRADING,true,8,8
ATOMTRY,ATOM,TRY,TRADING,true,8,8
ACHUSDT,ACH,USDT,TRADING,true,8,8
IMXUSDT,IMX,USDT,TRADING,true,8,8
GLMRUSDT,GLMR,USDT,TRADING,true,8,8
ICPTRY,ICP,TRY,TRADING,true,8,8
UNIETH,UNI,ETH,TRADING,true,8,8
ROSETRY,ROSE,TRY,TRADING,true,8,8
SCRTUSDT,SCRT,USDT,TRADING,true,8,8
API3USDT,API3,USDT,TRADING,true,8,8
BTTCUSDT,BTTC,USDT,TRADING,true,1,8
BTTCTRY,BTTC,TRY,TRADING,true,1,8
XNOUSDT,XNO,USDT,TRADING,true,8,8
COSTRY,COS,TRY,TRADING,true,8,8
ONETRY,ONE,TRY,TRADING,true,8,8
WOOUSDT,WOO,USDT,TRADING,true,8,8
SPELLTRY,SPELL,TRY,TRADING,true,8,8
AXSTRY,AXS,TRY,TRADING,true,8,8
NEARTRY,NEAR,TRY,TRADING,true,8,8
ALPINETRY,ALPINE,TRY,TRADING,true,8,8
ALPINEUSDT,ALPINE,USDT,TRADING,true,8,8
TUSDT,T,USDT,TRADING,true,8,8
INJTRY,INJ,TRY,TRADING,true,8,8
ASTRUSDT,ASTR,USDT,TRADING,true,8,8
API3TRY,API3,TRY,TRADING,true,8,8
MBOXTRY,MBOX,TRY,TRADING,true,8,8
GMTUSDT,GMT,USDT,TRADING,true,8,8
ATOMEUR,ATOM,EUR,TRADING,true,8,8
UMATRY,UMA,TRY,TRADING,true,8,8
APEUSDT,APE,USDT,TRADING,true,8,8
NEAREUR,NEAR,EUR,TRADING,true,8,8
TWTTRY,TWT,TRY,TRADING,true,8,8
APETRY,APE,TRY,TRADING,true,8,8
JASMYTRY,JASMY,TRY,TRADING,true,8,8
BIFIUSDT,BIFI,USDT,TRADING,true,8,8
FILTRY,FIL,TRY,TRADING,true,8,8
ZILTRY,ZIL,TRY,TRADING,true,8,8
GMTTRY,GMT,TRY,TRADING,true,8,8
STEEMUSDT,STEEM,USDT,TRADING,true,8,8
AUDIOTRY,AUDIO,TRY,TRADING,true,8,8
NEXOUSDT,NEXO,USDT,TRADING,true,8,8
NEXOBTC,NEXO,BTC,TRADING,true,8,8
LDOUSDT,LDO,USDT,TRADING,true,8,8
ENSTRY,ENS,TRY,TRADING,true,8,8
ALGOTRY,ALGO,TRY,TRADING,true,8,8
OPBTC,OP,BTC,TRADING,true,8,8
OPUSDT,OP,USDT,TRADING,true,8,8
STORJTRY,STORJ,TRY,TRADING,true,8,8
ETCTRY,ETC,TRY,TRADING,true,8,8
STGUSDT,STG,USDT,TRADING,true,8,8
ANKRTRY,ANKR,TRY,TRADING,true,8,8
LUNCUSDT,LUNC,USDT,TRADING,true,8,8
GMXUSDT,GMX,USDT,TRADING,true,8,8
POLYXUSDT,POLYX,USDT,TRADING,true,8,8
APTBTC,APT,BTC,TRADING,true,8,8
APTUSDT,APT,USDT,TRADING,true,8,8
BTCPLN,BTC,PLN,TRADING,true,8,8
ETHPLN,ETH,PLN,TRADING,true,8,8
APTEUR,APT,EUR,TRADING,true,8,8
APTTRY,APT,TRY,TRADING,true,8,8
OSMOUSDT,OSMO,USDT,TRADING,true,8,8
HFTUSDT,HFT,USDT,TRADING,true,8,8
PHBUSDT,PHB,USDT,TRADING,true,8,8
MAGICBTC,MAGIC,BTC,TRADING,true,8,8
MAGICUSDT,MAGIC,USDT,TRADING,true,8,8
RPLUSDT,RPL,USDT,TRADING,true,8,8
FETTRY,FET,TRY,TRADING,true,8,8
APTETH,APT,ETH,TRADING,true,8,8
GNSUSDT,GNS,USDT,TRADING,true,8,8
SYNUSDT,SYN,USDT,TRADING,true,8,8
SSVUSDT,SSV,USDT,TRADING,true,8,8
LQTYUSDT,LQTY,USDT,TRADING,true,8,8
CFXTRY,CFX,TRY,TRADING,true,8,8
STXTRY,STX,TRY,TRADING,true,8,8
USTCUSDT,USTC,USDT,TRADING,true,8,8
GASUSDT,GAS,USDT,TRADING,true,8,8
GLMUSDT,GLM,USDT,TRADING,true,8,8
PROMUSDT,PROM,USDT,TRADING,true,8,8
QKCUSDT,QKC,USDT,TRADING,true,8,8
IDUSDT,ID,USDT,TRADING,true,8,8
ARBBTC,ARB,BTC,TRADING,true,8,8
ARBUSDT,ARB,USDT,TRADING,true,8,8
ARBTRY,ARB,TRY,TRADING,true,8,8
ARBEUR,ARB,EUR,TRADING,true,8,8
IDTRY,ID,TRY,TRADING,true,8,8
SOLTUSD,SOL,TUSD,TRADING,true,8,8
MAGICTRY,MAGIC,TRY,TRADING,true,8,8
USDTPLN,USDT,PLN,TRADING,true,8,8
ACHTRY,ACH,TRY,TRADING,true,8,8
USDTARS,USDT,ARS,TRADING,true,8,8
WBTCUSDT,WBTC,USDT,TRADING,true,8,8
EDUUSDT,EDU,USDT,TRADING,true,8,8
EDUTRY,EDU,TRY,TRADING,true,8,8
SUIUSDT,SUI,USDT,TRADING,true,8,8
SUIBTC,SUI,BTC,TRADING,true,8,8
SUIBNB,SUI,BNB,TRADING,true,8,8
SUIEUR,SUI,EUR,TRADING,true,8,8
